2019-03-17 00:28:04,768 - sLogger - INFO - {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:44:43,362 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:44:56,921 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:50:28,426 - sLogger - INFO - simple - __main__ | Response = <Response 333 bytes [200 OK]>
2019-03-17 00:52:37,035 - sLogger - INFO - simple - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:53:03,207 - sLogger - INFO - simple - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 01:12:11,364 - sLogger - INFO - simple - Request = TestMessage | Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 01:12:56,009 - sLogger - INFO - simple -  | Request = TestMessage | Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 09:59:30,305 - sLogger - INFO - simple -  | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 10:09:12,095 - sLogger - INFO - simple -  | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 10:10:32,123 - sLogger - INFO - simple - | Senderinfo = something | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 10:19:51,391 - sLogger - INFO - simple - | Senderinfo = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 10:21:41,425 - sLogger - INFO - simple - | Sender = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 10:24:22,958 - sLogger - INFO - simple - | Sender = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 10:26:03,413 - sLogger - INFO - simple - | Sender = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping book', 'description': 'cooking with Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Reading book after purchase', 'description': 'Find a book I like and Read', 'done': False}]}
2019-03-17 10:28:05,495 - sLogger - INFO - simple - | Sender = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping book', 'description': 'cooking with Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Reading book after purchase', 'description': 'Find a book I like and Read', 'done': False}]}
2019-03-17 10:28:31,673 - sLogger - INFO - simple - | Sender = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping book', 'description': 'cooking with Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Reading book after purchase', 'description': 'Find a book I like and Read', 'done': False}]}
2019-03-17 10:29:05,907 - sLogger - INFO - simple - | Sender = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping book', 'description': 'shop a book for cooking with Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Reading book after purchase', 'description': 'Find a book I like and Read', 'done': False}]}
2019-03-17 11:54:59,665 - sLogger - INFO - simple - | Sender = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping book', 'description': 'shop a book for cooking with Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Reading book after purchase', 'description': 'Find a book I like and Read', 'done': False}]}
2019-03-17 12:12:46,981 - sLogger - INFO - simple - | Sender = Yuntao | RequestType = POST | Request = {'title': 'Read a book'} | Response = {'tasks': [{'id': 1, 'title': 'Shopping book', 'description': 'shop a book for cooking with Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Reading book after purchase', 'description': 'Find a book I like and Read', 'done': False}]}
